epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,12505.4,0.58356,0.50856,1.04405,0.70374,0.63467,0.66886,0.38171,1.53739,1.33037,1.84116,0.00021471,0.00021471,0.00021471
90,12645.9,0.59082,0.51112,1.04957,0.69873,0.62444,0.66981,0.38511,1.54262,1.3408,1.85132,0.000198206,0.000198206,0.000198206
91,12781.9,1.56907,1.38254,1.74487,0.66251,0.66641,0.68107,0.39055,1.51127,1.32691,1.80107,0.000181703,0.000181703,0.000181703
92,12918,1.52567,1.33577,1.69599,0.66313,0.66411,0.68357,0.39723,1.48662,1.29655,1.77384,0.0001652,0.0001652,0.0001652
93,13053.9,1.50048,1.30521,1.67205,0.65728,0.68309,0.69226,0.40123,1.47969,1.28603,1.76488,0.000148696,0.000148696,0.000148696
94,13189.5,1.48678,1.28019,1.6614,0.65242,0.68756,0.69388,0.40705,1.46791,1.27773,1.75497,0.000132193,0.000132193,0.000132193
95,13325.6,1.47521,1.26111,1.653,0.64762,0.68113,0.69619,0.41112,1.46689,1.27199,1.75522,0.00011569,0.00011569,0.00011569
96,13461.7,1.46789,1.244,1.64235,0.6703,0.67605,0.69835,0.41375,1.46651,1.26526,1.74642,9.91865e-05,9.91865e-05,9.91865e-05
97,13597.4,1.45593,1.22881,1.63381,0.6863,0.68153,0.7027,0.41746,1.4656,1.25772,1.73976,8.26832e-05,8.26832e-05,8.26832e-05
98,13732.8,1.45906,1.22347,1.63352,0.70722,0.66407,0.70393,0.41785,1.46735,1.25496,1.74085,6.61799e-05,6.61799e-05,6.61799e-05
99,13869.1,1.45101,1.21659,1.62976,0.71454,0.66451,0.70643,0.41832,1.46676,1.24754,1.73679,4.96766e-05,4.96766e-05,4.96766e-05
100,14004.3,1.44409,1.21427,1.62611,0.71042,0.6587,0.70776,0.41931,1.46816,1.24434,1.73469,3.31733e-05,3.31733e-05,3.31733e-05
